Nome,CNPJ,Cidade,Contato,Telefone,Equipamento
Idealizar & Soluções LTDA,11.111.111/1111-11,São Sebastião da Vargem Alegre - MG,Junior,(11)99999-0190,[11/07/2025] - [1785] - ATCL DNA
Idealizar & Soluções LTDA,11.111.111/1111-11,São Sebastião da Vargem Alegre - MG,Junior,(11)99999-0191,[11/07/2025] - [1785] - ATCL DNA
JOEL ELIAS KUBIAK,11.111.111/1111-11,Itaiopolis  - SC,Joel,(11)99999-0192,[21/07/2025] - [] - Substituição Para Edge 7 
Rodrigo  Ferreira da Silva/ Juli,11.111.111/1111-11,Jaraguá do Sul - SC,Rodrigo,(11)99999-0193,[18/07/2025] - [1814] - ATCL DNA
Rodrigo  Ferreira da Silva/ Juli,11.111.111/1111-11,Jaraguá do Sul - SC,Rodrigo,(11)99999-0194,[18/07/2025] - [1814] - ATCL DNA
Hande Móveis Ltda,11.111.111/1111-11,Belo Horizonte - MG,Jose,(11)99999-0195,[24/07/2025] - [1810] - ATCL DNA
Hande Móveis Ltda,11.111.111/1111-11,Belo Horizonte - MG,Jose,(11)99999-0196,[25/07/2025] - [1810] - ATCL DNA
Casa das Serras/ BRACASA (TREEADE MARCENARIA),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0197,[18/07/2025] - [1804] - ATCL DNA
Casa das Serras/ BRACASA (TREEADE ),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0198,[18/07/2025] - [1804] - ATCL DNA
Casa das Serras/ BRACASA (Identificar),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0199,[23/07/2025] - [1826] - ATCL DNA
Casa das Serras/ BRACASA (Identificar),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0200,[23/07/2025] - [1826] - ATCL DNA
Unika Móveis Planejados,11.111.111/1111-11,Araraquara - SP,Augusto,(11)99999-0201,[29/07/2025] - [1844] - TURBO DNA + coletor
Unika Móveis Planejados,11.111.111/1111-11,Araraquara - SP,Augusto,(11)99999-0202,[30/07/2025] - [1844] - TURBO DNA + coletor
Casa das Serras/ BRACASA (DW comercio),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0203,[21/07/2025] - [1811] - Spark 2819 / alterou para ATCL DNA
Casa das Serras/ BRACASA (DW comercio),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0204,[21/07/2025] - [1811] - Spark 2819 / alterou para ATCL DNA
Wr Confeccoes,11.111.111/1111-11,São Paulo - SP,Eduardo,(11)99999-0205,[21/07/2025] - [1809] - Edge 6 + coletor + compressor
Wr Confeccoes,11.111.111/1111-11,São Paulo - SP,Eduardo,(11)99999-0206,[21/07/2025] - [1809] - Edge 6 + coletor + compressor
